Date,Name,Start,End,Duration,Latitude,Longitude,Category,Link
11/1/15,Place in Manhattan,2015-11-01T01:06:17-04:00,2015-11-01T08:34:20-05:00,30483,40.7856121081,-73.9720724825,,
11/1/15,Place in Manhattan,2015-11-01T08:40:47-05:00,2015-11-01T10:30:46-05:00,6599,40.7869139082,-73.9733281397,,
11/1/15,Place in Manhattan,2015-11-01T10:30:47-05:00,2015-11-01T12:42:59-05:00,7932,40.7846327385,-73.9700231031,,
11/1/15,Place in Yorkville,2015-11-01T12:56:12-05:00,2015-11-01T13:02:06-05:00,354,40.780814669,-73.9628881018,,
11/1/15,Place in Yorkville,2015-11-01T13:08:12-05:00,2015-11-01T13:23:59-05:00,947,40.7793761676,-73.9628203952,,
11/1/15,Place in Yorkville,2015-11-01T13:23:59-05:00,2015-11-01T13:46:04-05:00,1325,40.7804526668,-73.9623457491,,
11/1/15,Place in Yorkville,2015-11-01T13:47:20-05:00,2015-11-01T13:55:17-05:00,477,40.7789860829,-73.963924247,,
11/1/15,Place in Yorkville,2015-11-01T14:06:26-05:00,2015-11-01T14:33:19-05:00,1613,40.7813790753,-73.9635029079,,
11/1/15,Place in Manhattan,2015-11-01T14:52:34-05:00,2015-11-01T15:13:41-05:00,1267,40.7855861515,-73.9713862068,,
11/1/15,Place in Manhattan,2015-11-01T15:19:36-05:00,2015-11-01T15:49:38-05:00,1802,40.7849633936,-73.9695481718,,
11/1/15,Place in Englewood,2015-11-01T16:38:48-05:00,2015-11-01T17:05:01-05:00,1573,40.8830396782,-73.9733923791,,
11/1/15,Place in Englewood,2015-11-01T17:07:15-05:00,2015-11-01T18:47:08-05:00,5993,40.881995164,-73.9773726024,,
11/1/15,Place in Manhattan,2015-11-01T19:00:33-05:00,2015-11-01T19:03:48-05:00,195,40.7862077957,-73.9723261426,,
11/1/15,Place in Manhattan,2015-11-01T21:27:07-05:00,2015-11-02T00:00:00-05:00,9173,40.7862077957,-73.9723261426,,
