Date,Name,Start,End,Duration,Latitude,Longitude,Category,Link
11/2/15,Place in Manhattan,2015-11-02T00:00:00-05:00,2015-11-02T09:18:37-05:00,33517,40.7862077957,-73.9723261426,,
11/2/15,Place in The Boulevard,2015-11-02T09:24:38-05:00,2015-11-02T09:51:41-05:00,1623,40.7885262849,-73.9766326913,,
11/2/15,Place in Penn Station South,2015-11-02T09:59:19-05:00,2015-11-03T00:00:00-05:00,50441,40.7417968236,-74.0021784707,,
11/3/15,Place in Penn Station South,2015-11-03T00:00:00-05:00,2015-11-03T14:52:25-05:00,53545,40.7417968236,-74.0021784707,,
11/3/15,Place in Penn Station South,2015-11-03T14:52:26-05:00,2015-11-03T18:15:17-05:00,12171,40.7408375251,-74.0021916154,,
11/3/15,Place in Manhattan,2015-11-03T18:23:51-05:00,2015-11-03T20:38:22-05:00,8071,40.7856083693,-73.9725035257,,
11/3/15,Place in Manhattan,2015-11-03T20:50:27-05:00,2015-11-03T21:58:42-05:00,4095,40.7856083693,-73.9725035257,,
11/3/15,Place in Manhattan,2015-11-03T22:56:07-05:00,2015-11-04T00:00:00-05:00,3833,40.7862701254,-73.9727265166,,
11/4/15,Place in Manhattan,2015-11-04T00:00:00-05:00,2015-11-04T09:13:12-05:00,33192,40.7862701254,-73.9727265166,,
11/4/15,Place in Manhattan,2015-11-04T09:18:38-05:00,2015-11-04T09:30:43-05:00,725,40.7879239912,-73.9766735522,,
11/4/15,Place in Penn Station South,2015-11-04T09:54:56-05:00,2015-11-04T18:15:32-05:00,30036,40.7413242041,-74.0021969426,,
11/4/15,Place in Manhattan,2015-11-04T18:42:31-05:00,2015-11-04T18:50:33-05:00,482,40.7856121081,-73.9720724825,,
11/4/15,Place in Manhattan,2015-11-04T18:55:04-05:00,2015-11-04T21:28:43-05:00,9219,40.7869139082,-73.9733281397,,
11/4/15,Place in Manhattan,2015-11-04T21:33:33-05:00,2015-11-05T00:00:00-05:00,8787,40.7859377129,-73.9721540308,,
11/5/15,Place in Manhattan,2015-11-05T00:00:00-05:00,2015-11-05T14:36:49-05:00,52609,40.7859377129,-73.9721540308,,
